ParaControl_AMD64-1xN @ coert-ws:  ================================================================================================================================
                                   6167.00 ms |          |     SV-crop-m2h |                       finished cropping M2H family for mesh 1 | 47.41 MB |   0.0000 MB
                                   6170.00 ms |          |     SV-crop-m2h |              removed reference M2H m2h from memory for mesh 1 | 34.45 MB | -12.9638 MB
                                   6170.00 ms |          |     SV-crop-m2h |                                                        mesh 1 | 34.45 MB |   0.0000 MB
                                   6170.00 ms |          |     SV-crop-m2h |                                                        mesh 1 | 34.45 MB |   0.0000 MB
                                   6171.00 ms |          |     SV-crop-m2h |                                cropping M2H family for mesh 1 | 34.45 MB |   0.0000 MB
                                   6171.00 ms |          |     SV-crop-m2h |                        allocated M2H target family for mesh 1 | 34.45 MB |   0.0000 MB
                                   6254.00 ms |          |     SV-crop-m2h |                      accessed M2H reference family for mesh 1 | 40.53 MB |   6.0867 MB
                                   6254.00 ms |          |     SV-crop-m2h |   loaded existing parts of target family from disk for mesh 1 | 40.53 MB |   0.0000 MB
                                   6254.00 ms |          |     SV-crop-m2h |                       setting up merge translation for mesh 1 | 40.53 MB |   0.0000 MB
                                   6254.00 ms |          |     SV-crop-m2h |           building index containers for M2H family for mesh 1 | 40.53 MB |   0.0000 MB
                                   6254.00 ms |          |     SV-crop-m2h | successfully built index containers for M2H family for mesh 1 | 40.53 MB |   0.0000 MB
                                   6254.00 ms |          |     SV-crop-m2h |                           allocated target M2H s2h for mesh 1 | 40.53 MB |   0.0000 MB
                                   6266.00 ms |          |     SV-crop-m2h |                             cropped target M2H s2h for mesh 1 | 40.55 MB |   0.0164 MB
                                   6268.00 ms |          |     SV-crop-m2h |                          cropped target M2H family for mesh 1 | 40.60 MB |   0.0492 MB
                                   6268.00 ms |          |     SV-crop-m2h |                 removed target M2H s2h from memory for mesh 1 | 40.60 MB |   0.0000 MB
                                   6268.00 ms |          |     SV-crop-m2h |                       finished cropping M2H family for mesh 1 | 40.60 MB |   0.0000 MB
                                   6268.00 ms |          |     SV-crop-m2h |              removed reference M2H m2h from memory for mesh 1 | 40.60 MB |   0.0000 MB
                                   6269.00 ms |          |     SV-crop-m2h |              removed reference M2H s2h from memory for mesh 1 | 34.93 MB |  -5.6648 MB
                                   6269.00 ms |          |     SV-crop-m2h |                                                        mesh 1 | 34.93 MB |   0.0000 MB
                                   6269.00 ms |          | SV-crop-classic |                                                        mesh 1 | 34.93 MB |   0.0000 MB
                                   6269.00 ms |          | SV-crop-classic |                successfully built index containers for mesh 1 | 34.93 MB |   0.0000 MB
                                   6269.00 ms |          | SV-crop-classic |                           prepared legacy matrices for mesh 1 | 34.93 MB |   0.0000 MB
                                   6270.00 ms |          | SV-crop-classic |                 loaded legacy reference matrix Rho for mesh 1 | 36.22 MB |   1.2861 MB
                                   6270.00 ms |          | SV-crop-classic |                         cropping legacy matrix Rho for mesh 1 | 36.22 MB |   0.0000 MB
                                   6276.00 ms |          | SV-crop-classic |                          cropped legacy matrix Rho for mesh 1 | 37.57 MB |   1.3517 MB
                                   6276.00 ms |          | SV-crop-classic |   calculated conspicuousness for legacy matrix Rho for mesh 1 | 37.57 MB |   0.0000 MB
                                   6276.00 ms |          | SV-crop-classic |                         cropping legacy matrix Rho for mesh 1 | 37.57 MB |   0.0000 MB
                                   6276.00 ms |          | SV-crop-classic |             successfully cropped legacy matrix Rho for mesh 1 | 37.57 MB |   0.0000 MB
                                   6276.00 ms |          | SV-crop-classic |   dropped cropped legacy matrix Rho to out-of-core for mesh 1 | 37.57 MB |   0.0000 MB
                                   6276.00 ms |          | SV-crop-classic |                dropped reference legacy matrix Rho for mesh 1 | 37.57 MB |   0.0000 MB
                                   6276.00 ms |          | SV-crop-classic |                finished cropping legacy matrix Rho for mesh 1 | 37.57 MB |   0.0000 MB
                                   6277.00 ms |          | SV-crop-classic |                  loaded legacy reference matrix ds for mesh 1 | 37.57 MB |   0.0000 MB
                                   6277.00 ms |          | SV-crop-classic |                          cropping legacy matrix ds for mesh 1 | 38.88 MB |   1.3066 MB
                                   6282.00 ms |          | SV-crop-classic |                           cropped legacy matrix ds for mesh 1 | 40.17 MB |   1.2902 MB
                                   6282.00 ms |          | SV-crop-classic |    calculated conspicuousness for legacy matrix ds for mesh 1 | 40.17 MB |   0.0000 MB
                                   6282.00 ms |          | SV-crop-classic |                          cropping legacy matrix ds for mesh 1 | 40.17 MB |   0.0000 MB
                                   6282.00 ms |          | SV-crop-classic |              successfully cropped legacy matrix ds for mesh 1 | 40.17 MB |   0.0000 MB
                                   6282.00 ms |          | SV-crop-classic |    dropped cropped legacy matrix ds to out-of-core for mesh 1 | 40.17 MB |   0.0000 MB
                                   6282.00 ms |          | SV-crop-classic |                 dropped reference legacy matrix ds for mesh 1 | 40.17 MB |   0.0000 MB
                                   6282.00 ms |          | SV-crop-classic |                 finished cropping legacy matrix ds for mesh 1 | 40.17 MB |   0.0000 MB
                                   6283.00 ms |          | SV-crop-classic |                  loaded legacy reference matrix dA for mesh 1 | 40.17 MB |   0.0000 MB
                                   6283.00 ms |          | SV-crop-classic |                          cropping legacy matrix dA for mesh 1 | 41.47 MB |   1.3025 MB
                                   6288.00 ms |          | SV-crop-classic |                           cropped legacy matrix dA for mesh 1 | 42.77 MB |   1.3025 MB
                                   6288.00 ms |          | SV-crop-classic |    calculated conspicuousness for legacy matrix dA for mesh 1 | 42.77 MB |   0.0000 MB
                                   6288.00 ms |          | SV-crop-classic |                          cropping legacy matrix dA for mesh 1 | 42.77 MB |   0.0000 MB
                                   6288.00 ms |          | SV-crop-classic |              successfully cropped legacy matrix dA for mesh 1 | 42.77 MB |   0.0000 MB
                                   6289.00 ms |          | SV-crop-classic |    dropped cropped legacy matrix dA to out-of-core for mesh 1 | 42.77 MB |   0.0000 MB
                                   6289.00 ms |          | SV-crop-classic |                 dropped reference legacy matrix dA for mesh 1 | 42.77 MB |   0.0000 MB
                                   6289.00 ms |          | SV-crop-classic |                 finished cropping legacy matrix dA for mesh 1 | 42.77 MB |   0.0000 MB
                                   6290.00 ms |          | SV-crop-classic |                 loaded legacy reference matrix dsd for mesh 1 | 42.77 MB |   0.0000 MB
                                   6290.00 ms |          | SV-crop-classic |                         cropping legacy matrix dsd for mesh 1 | 44.06 MB |   1.2861 MB
                                   6295.00 ms |          | SV-crop-classic |                          cropped legacy matrix dsd for mesh 1 | 45.35 MB |   1.2861 MB
                                   6295.00 ms |          | SV-crop-classic |   calculated conspicuousness for legacy matrix dsd for mesh 1 | 45.35 MB |   0.0000 MB
                                   6295.00 ms |          | SV-crop-classic |                         cropping legacy matrix dsd for mesh 1 | 45.35 MB |   0.0000 MB
                                   6295.00 ms |          | SV-crop-classic |             successfully cropped legacy matrix dsd for mesh 1 | 45.35 MB |   0.0000 MB
                                   6295.00 ms |          | SV-crop-classic |   dropped cropped legacy matrix dsd to out-of-core for mesh 1 | 45.35 MB |   0.0000 MB
                                   6295.00 ms |          | SV-crop-classic |                dropped reference legacy matrix dsd for mesh 1 | 45.35 MB |   0.0000 MB
                                   6295.00 ms |          | SV-crop-classic |                finished cropping legacy matrix dsd for mesh 1 | 45.35 MB |   0.0000 MB
                                   6296.00 ms |          | SV-crop-classic |                 loaded legacy reference matrix dad for mesh 1 | 45.35 MB |   0.0000 MB
                                   6296.00 ms |          | SV-crop-classic |                         cropping legacy matrix dad for mesh 1 | 46.63 MB |   1.2861 MB
                                   6301.00 ms |          | SV-crop-classic |                          cropped legacy matrix dad for mesh 1 | 47.92 MB |   1.2861 MB
                                   6301.00 ms |          | SV-crop-classic |   calculated conspicuousness for legacy matrix dad for mesh 1 | 47.92 MB |   0.0000 MB
                                   6301.00 ms |          | SV-crop-classic |                         cropping legacy matrix dad for mesh 1 | 47.92 MB |   0.0000 MB
                                   6301.00 ms |          | SV-crop-classic |             successfully cropped legacy matrix dad for mesh 1 | 47.92 MB |   0.0000 MB
                                   6301.00 ms |  --> 3rd | SV-crop-classic |   dropped cropped legacy matrix dad to out-of-core for mesh 1 | 47.92 MB |   0.0000 MB
                                   6301.00 ms |  --> 2nd | SV-crop-classic |                dropped reference legacy matrix dad for mesh 1 | 47.92 MB |   0.0000 MB
                                   6301.00 ms |          | SV-crop-classic |                finished cropping legacy matrix dad for mesh 1 | 47.92 MB |   0.0000 MB
                                   6301.00 ms |          | SV-crop-classic |                                                        mesh 1 | 47.92 MB |   0.0000 MB
                                   6302.00 ms | --> peak |     SV-crop-all |                                                    All meshes | 47.92 MB |   0.0000 MB
                                   6303.00 ms |          |     SV-crop-all |                             Outside MCalcResultIdentification | 47.92 MB |   0.0000 MB
                                   ================================================================================================================================
